
A continuación se muestran las soluciones viables para el KUKA KR6

 Solución 3 

C_PTP PTP{E6AXIS: A1 14.302131, A2 -80.982308, A3 145.874073, A4 -73.165747, A5 87.540350, A6 -24.302700}
PTP{E6AXIS: A1 -0.837453, A2 -85.562561, A3 125.971630, A4 -19.315932, A5 51.000593, A6 -78.427546} C_PTP 
PTP{E6AXIS: A1 -1.613099, A2 -85.743390, A3 125.856871, A4 -16.861404, A5 50.753158, A6 -80.800585} C_PTP 
PTP{E6AXIS: A1 -2.351978, A2 -85.878347, A3 125.746967, A4 -14.643106, A5 50.593478, A6 -82.980408} C_PTP 
PTP{E6AXIS: A1 -3.056033, A2 -85.975049, A3 125.641196, A4 -12.644769, A5 50.501619, A6 -84.979500} C_PTP 
PTP{E6AXIS: A1 -3.726762, A2 -86.039791, A3 125.538999, A4 -10.853052, A5 50.461581, A6 -86.808316} C_PTP 
PTP{E6AXIS: A1 -4.365365, A2 -86.077888, A3 125.439942, A4 -9.256644, A5 50.460298, A6 -88.475898} C_PTP 
PTP{E6AXIS: A1 -4.972844, A2 -86.093901, A3 125.343690, A4 -7.845718, A5 50.486985, A6 -89.990232} C_PTP 
PTP{E6AXIS: A1 -5.550063, A2 -86.091788, A3 125.249988, A4 -6.611607, A5 50.532684, A6 -91.358459} C_PTP 
PTP{E6AXIS: A1 -6.097784, A2 -86.075012, A3 125.158650, A4 -5.546602, A5 50.589934, A6 -92.586997} C_PTP 
PTP{E6AXIS: A1 -6.616696, A2 -86.046618, A3 125.069551, A4 -4.643825, A5 50.652533, A6 -93.681615} C_PTP 
PTP{E6AXIS: A1 -7.110983, A2 -86.008987, A3 124.981977, A4 -3.873051, A5 50.717011, A6 -94.666306} C_PTP 
PTP{E6AXIS: A1 -7.592167, A2 -85.962917, A3 124.893923, A4 -3.169277, A5 50.784535, A6 -95.594217} C_PTP 
PTP{E6AXIS: A1 -8.067539, A2 -85.908366, A3 124.804139, A4 -2.499879, A5 50.856055, A6 -96.493487} C_PTP 
PTP{E6AXIS: A1 -8.536584, A2 -85.845908, A3 124.712709, A4 -1.868089, A5 50.930370, A6 -97.361698} C_PTP 
PTP{E6AXIS: A1 -8.999709, A2 -85.775976, A3 124.619552, A4 -1.270863, A5 51.006869, A6 -98.201316} C_PTP 
PTP{E6AXIS: A1 -9.457272, A2 -85.698953, A3 124.524594, A4 -0.705506, A5 51.085040, A6 -99.014522} C_PTP 
PTP{E6AXIS: A1 -9.909585, A2 -85.615188, A3 124.427769, A4 -0.169642, A5 51.164456, A6 -99.803231} C_PTP 
PTP{E6AXIS: A1 -10.356922, A2 -85.524992, A3 124.329020, A4 0.338835, A5 51.244753, A6 -100.569144} C_PTP 
PTP{E6AXIS: A1 -10.799522, A2 -85.428653, A3 124.228291, A4 0.821804, A5 51.325625, A6 -101.313769} C_PTP 
PTP{E6AXIS: A1 -11.237601, A2 -85.326430, A3 124.125536, A4 1.280949, A5 51.406812, A6 -102.038459} C_PTP 
PTP{E6AXIS: A1 -11.671348, A2 -85.218563, A3 124.020710, A4 1.717789, A5 51.488094, A6 -102.744430} C_PTP 
PTP{E6AXIS: A1 -12.100934, A2 -85.105276, A3 123.913773, A4 2.133697, A5 51.569283, A6 -103.432777} C_PTP 
PTP{E6AXIS: A1 -12.526513, A2 -84.986773, A3 123.804687, A4 2.529926, A5 51.650221, A6 -104.104495} C_PTP 
PTP{E6AXIS: A1 -12.948224, A2 -84.863247, A3 123.693419, A4 2.907616, A5 51.730775, A6 -104.760490} C_PTP 
PTP{E6AXIS: A1 -13.366191, A2 -84.734877, A3 123.579936, A4 3.267814, A5 51.810833, A6 -105.401588} C_PTP 
PTP{E6AXIS: A1 -13.780530, A2 -84.601830, A3 123.464209, A4 3.611486, A5 51.890302, A6 -106.028549} C_PTP 
PTP{E6AXIS: A1 -14.191346, A2 -84.464264, A3 123.346210, A4 3.939520, A5 51.969106, A6 -106.642068} C_PTP 
PTP{E6AXIS: A1 -14.598735, A2 -84.322329, A3 123.225914, A4 4.252741, A5 52.047183, A6 -107.242791} C_PTP 
PTP{E6AXIS: A1 -15.002785, A2 -84.176163, A3 123.103296, A4 4.551916, A5 52.124485, A6 -107.831313} C_PTP 
PTP{E6AXIS: A1 -15.403580, A2 -84.025901, A3 122.978333, A4 4.837761, A5 52.200976, A6 -108.408187} C_PTP 
PTP{E6AXIS: A1 -15.801194, A2 -83.871667, A3 122.851005, A4 5.110943, A5 52.276629, A6 -108.973927} C_PTP 
PTP{E6AXIS: A1 -16.195699, A2 -83.713581, A3 122.721289, A4 5.372088, A5 52.351428, A6 -109.529014} C_PTP 
PTP{E6AXIS: A1 -16.587162, A2 -83.551756, A3 122.589169, A4 5.621784, A5 52.425365, A6 -110.073896} C_PTP 
PTP{E6AXIS: A1 -16.975643, A2 -83.386299, A3 122.454624, A4 5.860587, A5 52.498440, A6 -110.608994} C_PTP 
PTP{E6AXIS: A1 -17.361202, A2 -83.217314, A3 122.317638, A4 6.089019, A5 52.570659, A6 -111.134705} C_PTP 
PTP{E6AXIS: A1 -17.743894, A2 -83.044898, A3 122.178194, A4 6.307575, A5 52.642036, A6 -111.651400} C_PTP 
PTP{E6AXIS: A1 -18.123770, A2 -82.869144, A3 122.036276, A4 6.516724, A5 52.712591, A6 -112.159431} C_PTP 
PTP{E6AXIS: A1 -18.500880, A2 -82.690141, A3 121.891869, A4 6.716911, A5 52.782347, A6 -112.659129} C_PTP 
PTP{E6AXIS: A1 -18.875270, A2 -82.507974, A3 121.744959, A4 6.908559, A5 52.851336, A6 -113.150809} C_PTP 
PTP{E6AXIS: A1 -19.246985, A2 -82.322724, A3 121.595532, A4 7.092072, A5 52.919591, A6 -113.634769} C_PTP 
PTP{E6AXIS: A1 -19.616067, A2 -82.134468, A3 121.443573, A4 7.267834, A5 52.987151, A6 -114.111292} C_PTP 
PTP{E6AXIS: A1 -19.982557, A2 -81.943280, A3 121.289070, A4 7.436215, A5 53.054060, A6 -114.580648} C_PTP 
PTP{E6AXIS: A1 -20.346493, A2 -81.749231, A3 121.132011, A4 7.597564, A5 53.120363, A6 -115.043094} C_PTP 
PTP{E6AXIS: A1 -20.707914, A2 -81.552388, A3 120.972383, A4 7.752220, A5 53.186111, A6 -115.498875} C_PTP 
PTP{E6AXIS: A1 -21.066855, A2 -81.352815, A3 120.810174, A4 7.900507, A5 53.251356, A6 -115.948225} C_PTP 
PTP{E6AXIS: A1 -21.423350, A2 -81.150573, A3 120.645373, A4 8.042734, A5 53.316156, A6 -116.391369} C_PTP 
PTP{E6AXIS: A1 -21.777433, A2 -80.945722, A3 120.477968, A4 8.179200, A5 53.380569, A6 -116.828521} C_PTP 
PTP{E6AXIS: A1 -22.129137, A2 -80.738316, A3 120.307949, A4 8.310193, A5 53.444656, A6 -117.259888} C_PTP 
PTP{E6AXIS: A1 -22.478493, A2 -80.528410, A3 120.135304, A4 8.435991, A5 53.508483, A6 -117.685666} C_PTP 
PTP{E6AXIS: A1 -22.825531, A2 -80.316053, A3 119.960022, A4 8.556859, A5 53.572114, A6 -118.106048} C_PTP 
PTP{E6AXIS: A1 -23.170280, A2 -80.101293, A3 119.782094, A4 8.673055, A5 53.635619, A6 -118.521215} C_PTP 
PTP{E6AXIS: A1 -23.512770, A2 -79.884178, A3 119.601508, A4 8.784829, A5 53.699068, A6 -118.931344} C_PTP 
PTP{E6AXIS: A1 -23.853028, A2 -79.664748, A3 119.418255, A4 8.892421, A5 53.762534, A6 -119.336606} C_PTP 
PTP{E6AXIS: A1 -24.191082, A2 -79.443047, A3 119.232323, A4 8.996064, A5 53.826091, A6 -119.737163} C_PTP 
PTP{E6AXIS: A1 -24.526957, A2 -79.219112, A3 119.043704, A4 9.095981, A5 53.889815, A6 -120.133175} C_PTP 
PTP{E6AXIS: A1 -24.860680, A2 -78.992980, A3 118.852386, A4 9.192393, A5 53.953783, A6 -120.524793} C_PTP 
PTP{E6AXIS: A1 -25.192277, A2 -78.764687, A3 118.658360, A4 9.285509, A5 54.018074, A6 -120.912168} C_PTP 
PTP{E6AXIS: A1 -25.521771, A2 -78.534263, A3 118.461615, A4 9.375534, A5 54.082770, A6 -121.295440} C_PTP 
PTP{E6AXIS: A1 -25.849188, A2 -78.301740, A3 118.262141, A4 9.462667, A5 54.147951, A6 -121.674749} C_PTP 
PTP{E6AXIS: A1 -26.174550, A2 -78.067146, A3 118.059928, A4 9.547099, A5 54.213700, A6 -122.050228} C_PTP 
PTP{E6AXIS: A1 -26.497882, A2 -77.830508, A3 117.854964, A4 9.629018, A5 54.280103, A6 -122.422007} C_PTP 
PTP{E6AXIS: A1 -26.819206, A2 -77.591850, A3 117.647241, A4 9.708605, A5 54.347244, A6 -122.790212} C_PTP 
PTP{E6AXIS: A1 -27.138544, A2 -77.351195, A3 117.436747, A4 9.786035, A5 54.415209, A6 -123.154965} C_PTP 
PTP{E6AXIS: A1 -27.455919, A2 -77.108564, A3 117.223471, A4 9.861480, A5 54.484086, A6 -123.516383} C_PTP 
PTP{E6AXIS: A1 -27.771351, A2 -76.863976, A3 117.007402, A4 9.935105, A5 54.553963, A6 -123.874581} C_PTP 
PTP{E6AXIS: A1 -28.084863, A2 -76.617448, A3 116.788530, A4 10.007070, A5 54.624930, A6 -124.229670} C_PTP 
PTP{E6AXIS: A1 -28.396474, A2 -76.368996, A3 116.566842, A4 10.077533, A5 54.697077, A6 -124.581756} C_PTP 
PTP{E6AXIS: A1 -28.706206, A2 -76.118634, A3 116.342328, A4 10.146646, A5 54.770493, A6 -124.930944} C_PTP 
PTP{E6AXIS: A1 -29.014078, A2 -75.866374, A3 116.114975, A4 10.214554, A5 54.845272, A6 -125.277335} C_PTP 
PTP{E6AXIS: A1 -29.320110, A2 -75.612227, A3 115.884772, A4 10.281402, A5 54.921504, A6 -125.621026} C_PTP 
PTP{E6AXIS: A1 -29.624321, A2 -75.356201, A3 115.651706, A4 10.347329, A5 54.999284, A6 -125.962110} C_PTP 
PTP{E6AXIS: A1 -29.926731, A2 -75.098304, A3 115.415764, A4 10.412469, A5 55.078705, A6 -126.300681} C_PTP 
PTP{E6AXIS: A1 -30.227359, A2 -74.838541, A3 115.176935, A4 10.476953, A5 55.159860, A6 -126.636825} C_PTP 
PTP{E6AXIS: A1 -30.526222, A2 -74.576918, A3 114.935203, A4 10.540908, A5 55.242845, A6 -126.970628} C_PTP 
PTP{E6AXIS: A1 -30.823340, A2 -74.313436, A3 114.690557, A4 10.604456, A5 55.327754, A6 -127.302173} C_PTP 
PTP{E6AXIS: A1 -31.118729, A2 -74.048096, A3 114.442982, A4 10.667718, A5 55.414684, A6 -127.631538} C_PTP 
PTP{E6AXIS: A1 -31.412407, A2 -73.780899, A3 114.192463, A4 10.730809, A5 55.503730, A6 -127.958801} C_PTP 
PTP{E6AXIS: A1 -31.704392, A2 -73.511842, A3 113.938987, A4 10.793839, A5 55.594989, A6 -128.284034} C_PTP 
PTP{E6AXIS: A1 -31.994700, A2 -73.240922, A3 113.682538, A4 10.856918, A5 55.688558, A6 -128.607309} C_PTP 
PTP{E6AXIS: A1 -32.283349, A2 -72.968135, A3 113.423100, A4 10.920150, A5 55.784533, A6 -128.928693} C_PTP 
PTP{E6AXIS: A1 -32.570354, A2 -72.693474, A3 113.160659, A4 10.983636, A5 55.883014, A6 -129.248251} C_PTP 
PTP{E6AXIS: A1 -32.855732, A2 -72.416932, A3 112.895197, A4 11.047473, A5 55.984096, A6 -129.566045} C_PTP 
PTP{E6AXIS: A1 -33.139498, A2 -72.138501, A3 112.626697, A4 11.111755, A5 56.087879, A6 -129.882136} C_PTP 
PTP{E6AXIS: A1 -33.421667, A2 -71.858169, A3 112.355144, A4 11.176573, A5 56.194460, A6 -130.196579} C_PTP 
PTP{E6AXIS: A1 -33.702256, A2 -71.575926, A3 112.080518, A4 11.242014, A5 56.303937, A6 -130.509427} C_PTP 
PTP{E6AXIS: A1 -33.981279, A2 -71.291758, A3 111.802802, A4 11.308161, A5 56.416410, A6 -130.820733} C_PTP 
PTP{E6AXIS: A1 -34.258750, A2 -71.005652, A3 111.521978, A4 11.375094, A5 56.531977, A6 -131.130543} C_PTP 
PTP{E6AXIS: A1 -34.534684, A2 -70.717591, A3 111.238025, A4 11.442891, A5 56.650736, A6 -131.438904} C_PTP 
PTP{E6AXIS: A1 -34.809095, A2 -70.427560, A3 110.950924, A4 11.511625, A5 56.772786, A6 -131.745856} C_PTP 
PTP{E6AXIS: A1 -35.073769, A2 -70.144391, A3 110.669479, A4 11.525254, A5 56.853623, A6 -132.012720} C_PTP 
PTP{E6AXIS: A1 10.201483, A2 -67.334362, A3 123.735002, A4 -76.396875, A5 87.827436, A6 -33.026414} C_PTP 
PTP{E6AXIS: A1 9.619768, A2 -70.919817, A3 123.447371, A4 -70.640414, A5 80.374190, A6 -37.473231} C_PTP 
PTP{E6AXIS: A1 7.241940, A2 -76.130190, A3 122.852388, A4 -54.250861, A5 64.825456, A6 -48.715488} C_PTP 
PTP{E6AXIS: A1 5.796250, A2 -77.894374, A3 122.577585, A4 -46.608052, A5 60.071669, A6 -54.707396} C_PTP 
PTP{E6AXIS: A1 4.591605, A2 -79.008533, A3 122.369706, A4 -40.790958, A5 57.266455, A6 -59.487816} C_PTP 
PTP{E6AXIS: A1 3.524186, A2 -79.801307, A3 122.196077, A4 -35.968340, A5 55.397593, A6 -63.576330} C_PTP 
PTP{E6AXIS: A1 2.548377, A2 -80.397600, A3 122.043404, A4 -31.801358, A5 54.080866, A6 -67.192896} C_PTP 
PTP{E6AXIS: A1 1.640407, A2 -80.858720, A3 121.904942, A4 -28.117967, A5 53.128391, A6 -70.451716} C_PTP 
PTP{E6AXIS: A1 0.786685, A2 -81.219700, A3 121.776811, A4 -24.819919, A5 52.433591, A6 -73.418962} C_PTP 
PTP{E6AXIS: A1 -0.021076, A2 -81.502831, A3 121.656573, A4 -21.846338, A5 51.929370, A6 -76.136132} C_PTP 
PTP{E6AXIS: A1 -0.788198, A2 -81.723502, A3 121.542593, A4 -19.156895, A5 51.570042, A6 -78.631080} C_PTP 
PTP{E6AXIS: A1 -1.518257, A2 -81.893031, A3 121.433719, A4 -16.723227, A5 51.322570, A6 -80.923726} C_PTP 
PTP{E6AXIS: A1 -2.213768, A2 -82.020168, A3 121.329105, A4 -14.524246, A5 51.161947, A6 -83.029191} C_PTP 
PTP{E6AXIS: A1 -2.876578, A2 -82.111934, A3 121.228118, A4 -12.543480, A5 51.068590, A6 -84.959576} C_PTP 
PTP{E6AXIS: A1 -3.508105, A2 -82.174134, A3 121.130272, A4 -10.767496, A5 51.026781, A6 -86.724995} C_PTP 
PTP{E6AXIS: A1 -4.109486, A2 -82.211670, A3 121.035197, A4 -9.184974, A5 51.023688, A6 -88.334177} C_PTP 
PTP{E6AXIS: A1 -4.681664, A2 -82.228746, A3 120.942609, A4 -7.786134, A5 51.048714, A6 -89.794821} C_PTP 
PTP{E6AXIS: A1 -5.225452, A2 -82.229015, A3 120.852299, A4 -6.562392, A5 51.093052, A6 -91.113802} C_PTP 
PTP{E6AXIS: A1 -5.741562, A2 -82.215673, A3 120.764122, A4 -5.506140, A5 51.149365, A6 -92.297296} C_PTP 
PTP{E6AXIS: A1 -6.230634, A2 -82.191528, A3 120.677984, A4 -4.610615, A5 51.211548, A6 -93.350852} C_PTP 
PTP{E6AXIS: A1 -6.696606, A2 -82.158792, A3 120.593220, A4 -3.845888, A5 51.276118, A6 -94.297770} C_PTP 
PTP{E6AXIS: A1 -7.150333, A2 -82.118247, A3 120.507905, A4 -3.147486, A5 51.344069, A6 -95.189691} C_PTP 
PTP{E6AXIS: A1 -7.598693, A2 -82.069877, A3 120.420834, A4 -2.483041, A5 51.416278, A6 -96.053920} C_PTP 
PTP{E6AXIS: A1 -8.041200, A2 -82.014206, A3 120.332093, A4 -1.855773, A5 51.491573, A6 -96.888094} C_PTP 
PTP{E6AXIS: A1 -8.478243, A2 -81.951629, A3 120.241607, A4 -1.262667, A5 51.569345, A6 -97.694605} C_PTP 
PTP{E6AXIS: A1 -8.910159, A2 -81.882500, A3 120.149309, A4 -0.701058, A5 51.649082, A6 -98.475570} C_PTP 
PTP{E6AXIS: A1 -9.337246, A2 -81.807135, A3 120.055138, A4 -0.168597, A5 51.730354, A6 -99.232848} C_PTP 
PTP{E6AXIS: A1 -9.759762, A2 -81.725821, A3 119.959039, A4 0.336799, A5 51.812797, A6 -99.968088} C_PTP 
PTP{E6AXIS: A1 -10.177936, A2 -81.638818, A3 119.860964, A4 0.816986, A5 51.896102, A6 -100.682758} C_PTP 
PTP{E6AXIS: A1 -10.591973, A2 -81.546363, A3 119.760869, A4 1.273629, A5 51.980005, A6 -101.378171} C_PTP 
PTP{E6AXIS: A1 -11.002053, A2 -81.448674, A3 119.658712, A4 1.708230, A5 52.064282, A6 -102.055507} C_PTP 
PTP{E6AXIS: A1 -11.408338, A2 -81.345954, A3 119.554457, A4 2.122145, A5 52.148740, A6 -102.715832} C_PTP 
PTP{E6AXIS: A1 -11.810974, A2 -81.238388, A3 119.448069, A4 2.516611, A5 52.233216, A6 -103.360113} C_PTP 
PTP{E6AXIS: A1 -12.210093, A2 -81.126149, A3 119.339515, A4 2.892754, A5 52.317573, A6 -103.989231} C_PTP 
PTP{E6AXIS: A1 -12.605816, A2 -81.009400, A3 119.228768, A4 3.251610, A5 52.401691, A6 -104.603990} C_PTP 
PTP{E6AXIS: A1 -12.998250, A2 -80.888292, A3 119.115798, A4 3.594129, A5 52.485473, A6 -105.205129} C_PTP 
PTP{E6AXIS: A1 -13.387497, A2 -80.762966, A3 119.000581, A4 3.921192, A5 52.568837, A6 -105.793327} C_PTP 
PTP{E6AXIS: A1 -13.773647, A2 -80.633555, A3 118.883091, A4 4.233611, A5 52.651714, A6 -106.369211} C_PTP 
PTP{E6AXIS: A1 -14.156785, A2 -80.500186, A3 118.763307, A4 4.532145, A5 52.734050, A6 -106.933361} C_PTP 
PTP{E6AXIS: A1 -14.536989, A2 -80.362976, A3 118.641207, A4 4.817499, A5 52.815802, A6 -107.486317} C_PTP 
PTP{E6AXIS: A1 -14.914331, A2 -80.222038, A3 118.516770, A4 5.090332, A5 52.896936, A6 -108.028580} C_PTP 
PTP{E6AXIS: A1 -15.288879, A2 -80.077479, A3 118.389977, A4 5.351263, A5 52.977430, A6 -108.560619} C_PTP 
PTP{E6AXIS: A1 -15.660696, A2 -79.929398, A3 118.260810, A4 5.600873, A5 53.057269, A6 -109.082872} C_PTP 
PTP{E6AXIS: A1 -16.029839, A2 -79.777891, A3 118.129251, A4 5.839710, A5 53.136445, A6 -109.595750} C_PTP 
PTP{E6AXIS: A1 -16.396365, A2 -79.623049, A3 117.995283, A4 6.068290, A5 53.214959, A6 -110.099639} C_PTP 
PTP{E6AXIS: A1 -16.760326, A2 -79.464959, A3 117.858891, A4 6.287101, A5 53.292816, A6 -110.594903} C_PTP 
PTP{E6AXIS: A1 -17.121769, A2 -79.303702, A3 117.720059, A4 6.496607, A5 53.370029, A6 -111.081886} C_PTP 
PTP{E6AXIS: A1 -17.480743, A2 -79.139357, A3 117.578771, A4 6.697248, A5 53.446615, A6 -111.560911} C_PTP 
PTP{E6AXIS: A1 -17.837290, A2 -78.971998, A3 117.435015, A4 6.889442, A5 53.522598, A6 -112.032286} C_PTP 
PTP{E6AXIS: A1 -18.191452, A2 -78.801696, A3 117.288775, A4 7.073588, A5 53.598004, A6 -112.496303} C_PTP 
PTP{E6AXIS: A1 -18.543270, A2 -78.628518, A3 117.140039, A4 7.250067, A5 53.672866, A6 -112.953239} C_PTP 
PTP{E6AXIS: A1 -18.892781, A2 -78.452530, A3 116.988792, A4 7.419241, A5 53.747218, A6 -113.403357} C_PTP 
PTP{E6AXIS: A1 -19.240021, A2 -78.273793, A3 116.835023, A4 7.581460, A5 53.821100, A6 -113.846908} C_PTP 
PTP{E6AXIS: A1 -19.585026, A2 -78.092365, A3 116.678719, A4 7.737057, A5 53.894555, A6 -114.284133} C_PTP 
PTP{E6AXIS: A1 -19.927828, A2 -77.908301, A3 116.519868, A4 7.886352, A5 53.967630, A6 -114.715260} C_PTP 
PTP{E6AXIS: A1 -20.268460, A2 -77.721656, A3 116.358457, A4 8.029653, A5 54.040373, A6 -115.140510} C_PTP 
PTP{E6AXIS: A1 -20.606954, A2 -77.532478, A3 116.194476, A4 8.167256, A5 54.112836, A6 -115.560092} C_PTP 
PTP{E6AXIS: A1 -20.943338, A2 -77.340817, A3 116.027911, A4 8.299445, A5 54.185075, A6 -115.974207} C_PTP 
PTP{E6AXIS: A1 -21.277641, A2 -77.146718, A3 115.858752, A4 8.426495, A5 54.257145, A6 -116.383050} C_PTP 
PTP{E6AXIS: A1 -21.609893, A2 -76.950224, A3 115.686988, A4 8.548671, A5 54.329108, A6 -116.786806} C_PTP 
PTP{E6AXIS: A1 -21.940119, A2 -76.751376, A3 115.512607, A4 8.666228, A5 54.401024, A6 -117.185654} C_PTP 
PTP{E6AXIS: A1 -22.268346, A2 -76.550213, A3 115.335598, A4 8.779414, A5 54.472958, A6 -117.579767} C_PTP 
PTP{E6AXIS: A1 -22.594599, A2 -76.346772, A3 115.155949, A4 8.888467, A5 54.544975, A6 -117.969310} C_PTP 
PTP{E6AXIS: A1 -22.918904, A2 -76.141086, A3 114.973650, A4 8.993618, A5 54.617144, A6 -118.354444} C_PTP 
PTP{E6AXIS: A1 -23.241284, A2 -75.933189, A3 114.788690, A4 9.095092, A5 54.689533, A6 -118.735324} C_PTP 
PTP{E6AXIS: A1 -23.561764, A2 -75.723112, A3 114.601056, A4 9.193105, A5 54.762215, A6 -119.112098} C_PTP 
PTP{E6AXIS: A1 -23.880365, A2 -75.510883, A3 114.410739, A4 9.287867, A5 54.835261, A6 -119.484911} C_PTP 
PTP{E6AXIS: A1 -24.197111, A2 -75.296528, A3 114.217725, A4 9.379581, A5 54.908747, A6 -119.853902} C_PTP 
PTP{E6AXIS: A1 -24.512023, A2 -75.080074, A3 114.022005, A4 9.468447, A5 54.982749, A6 -120.219206} C_PTP 
PTP{E6AXIS: A1 -24.825123, A2 -74.861542, A3 113.823567, A4 9.554654, A5 55.057342, A6 -120.580954} C_PTP 
PTP{E6AXIS: A1 -25.136432, A2 -74.640955, A3 113.622398, A4 9.638390, A5 55.132607, A6 -120.939271} C_PTP 
PTP{E6AXIS: A1 -25.445970, A2 -74.418331, A3 113.418487, A4 9.719835, A5 55.208622, A6 -121.294281} C_PTP 
PTP{E6AXIS: A1 -25.753756, A2 -74.193690, A3 113.211822, A4 9.799165, A5 55.285469, A6 -121.646100} C_PTP 
PTP{E6AXIS: A1 -26.059812, A2 -73.967047, A3 113.002391, A4 9.876551, A5 55.363230, A6 -121.994844} C_PTP 
PTP{E6AXIS: A1 -26.364156, A2 -73.738418, A3 112.790181, A4 9.952159, A5 55.441987, A6 -122.340624} C_PTP 
PTP{E6AXIS: A1 -26.666806, A2 -73.507814, A3 112.575180, A4 10.026149, A5 55.521826, A6 -122.683547} C_PTP 
PTP{E6AXIS: A1 -26.967782, A2 -73.275248, A3 112.357375, A4 10.098679, A5 55.602830, A6 -123.023717} C_PTP 
PTP{E6AXIS: A1 -27.267102, A2 -73.040730, A3 112.136752, A4 10.169900, A5 55.685086, A6 -123.361235} C_PTP 
PTP{E6AXIS: A1 -27.564783, A2 -72.804267, A3 111.913299, A4 10.239961, A5 55.768682, A6 -123.696198} C_PTP 
PTP{E6AXIS: A1 -27.860843, A2 -72.565868, A3 111.687002, A4 10.309005, A5 55.853704, A6 -124.028700} C_PTP 
PTP{E6AXIS: A1 -28.155299, A2 -72.325536, A3 111.457846, A4 10.377172, A5 55.940241, A6 -124.358833} C_PTP 
PTP{E6AXIS: A1 -28.448167, A2 -72.083277, A3 111.225818, A4 10.444597, A5 56.028383, A6 -124.686684} C_PTP 
PTP{E6AXIS: A1 -28.739465, A2 -71.839093, A3 110.990902, A4 10.511413, A5 56.118220, A6 -125.012339} C_PTP 
PTP{E6AXIS: A1 -29.029209, A2 -71.592984, A3 110.753085, A4 10.577747, A5 56.209842, A6 -125.335879} C_PTP 
PTP{E6AXIS: A1 -29.317414, A2 -71.344951, A3 110.512349, A4 10.643724, A5 56.303341, A6 -125.657384} C_PTP 
PTP{E6AXIS: A1 -29.604096, A2 -71.094991, A3 110.268681, A4 10.709463, A5 56.398809, A6 -125.976930} C_PTP 
PTP{E6AXIS: A1 -29.889271, A2 -70.843102, A3 110.022062, A4 10.775082, A5 56.496338, A6 -126.294590} C_PTP 
PTP{E6AXIS: A1 -30.172953, A2 -70.589278, A3 109.772478, A4 10.840694, A5 56.596022, A6 -126.610434} C_PTP 
PTP{E6AXIS: A1 -30.455158, A2 -70.333515, A3 109.519911, A4 10.906408, A5 56.697954, A6 -126.924531} C_PTP 
PTP{E6AXIS: A1 -30.735899, A2 -70.075805, A3 109.264343, A4 10.972331, A5 56.802228, A6 -127.236944} C_PTP 
PTP{E6AXIS: A1 -31.015191, A2 -69.816139, A3 109.005757, A4 11.038566, A5 56.908940, A6 -127.547737} C_PTP 
PTP{E6AXIS: A1 -31.293048, A2 -69.554508, A3 108.744134, A4 11.105211, A5 57.018183, A6 -127.856967} C_PTP 
PTP{E6AXIS: A1 -31.569484, A2 -69.290901, A3 108.479456, A4 11.172362, A5 57.130053, A6 -128.164692} C_PTP 
PTP{E6AXIS: A1 -31.844512, A2 -69.025305, A3 108.211702, A4 11.240111, A5 57.244647, A6 -128.470965} C_PTP 
PTP{E6AXIS: A1 -32.118145, A2 -68.757706, A3 107.940854, A4 11.308549, A5 57.362059, A6 -128.775836} C_PTP 
PTP{E6AXIS: A1 -32.390397, A2 -68.488091, A3 107.666891, A4 11.377760, A5 57.482387, A6 -129.079353} C_PTP 
PTP{E6AXIS: A1 -32.661278, A2 -68.216443, A3 107.389792, A4 11.447827, A5 57.605727, A6 -129.381561} C_PTP 
PTP{E6AXIS: A1 -32.930803, A2 -67.942744, A3 107.109535, A4 11.518828, A5 57.732175, A6 -129.682503} C_PTP 
PTP{E6AXIS: A1 -33.198982, A2 -67.666977, A3 106.826098, A4 11.590841, A5 57.861829, A6 -129.982218} C_PTP 
PTP{E6AXIS: A1 -33.457781, A2 -67.397546, A3 106.548174, A4 11.606919, A5 57.951374, A6 -130.242677} C_PTP 
PTP{E6AXIS: A1 9.645685, A2 -64.696301, A3 119.025399, A4 -76.778185, A5 88.000677, A6 -35.116095} C_PTP 
PTP{E6AXIS: A1 9.094524, A2 -68.013574, A3 118.756576, A4 -70.752889, A5 80.656441, A6 -39.290050} C_PTP 
PTP{E6AXIS: A1 6.843536, A2 -72.841665, A3 118.204235, A4 -53.951459, A5 65.398689, A6 -50.108363} C_PTP 
PTP{E6AXIS: A1 5.476250, A2 -74.478934, A3 117.948882, A4 -46.241447, A5 60.741452, A6 -55.900466} C_PTP 
PTP{E6AXIS: A1 4.337518, A2 -75.513893, A3 117.755101, A4 -40.411867, A5 57.995487, A6 -60.518353} C_PTP 
PTP{E6AXIS: A1 3.328851, A2 -76.250939, A3 117.592671, A4 -35.599712, A5 56.166806, A6 -64.463669} C_PTP 
PTP{E6AXIS: A1 2.406972, A2 -76.805804, A3 117.449318, A4 -31.454476, A5 54.878460, A6 -67.950067} C_PTP 
PTP{E6AXIS: A1 1.549319, A2 -77.235305, A3 117.318829, A4 -27.798510, A5 53.946300, A6 -71.088907} C_PTP 
PTP{E6AXIS: A1 0.742985, A2 -77.571912, A3 117.197641, A4 -24.530435, A5 53.265977, A6 -73.944901} C_PTP 
PTP{E6AXIS: A1 -0.019905, A2 -77.836284, A3 117.083522, A4 -21.587457, A5 52.771872, A6 -76.558715} C_PTP 
